템플릿명,작업 항목,작성 양식,실무 예시 1,실무 예시 2,체크리스트,실무 가이드,출처
고소작업대작업계획서,작업명,예: 분전반 교체작업,기숙사 분전반 교체,생산동 배전함 점검,,,
고소작업대작업계획서,작업일시,YYYY-MM-DD HH:MM~HH:MM,2025-05-02 09:00~12:00,2025-05-03 13:00~15:00,,,
고소작업대작업계획서,작업장소,설비 위치 기재,기숙사 1층 전기실,생산동 지하 1층,,,
고소작업대작업계획서,작업자,성명 기재,홍길동,김민수,,,
고소작업대작업계획서,작업내용,"교체, 점검, 배선 등",노후 분전반 교체,배전함 누전 점검,,,
고소작업대작업계획서,사용 장비,"테스터기, 절연장갑 등","전기테스터기, 절연장갑","절연방화복, 절연공구",,,
고소작업대작업계획서,위험요인,"감전, 화재, 누전 등",전선 피복 손상으로 인한 감전,과부하로 인한 누전,,,
고소작업대작업계획서,안전조치사항,"차단기 차단, 절연구 사용 등","작업 전 전원 차단, 절연매트 사용","2인1조 작업, 감시자 배치",,,
고소작업대작업계획서,담당자 서명,직접 서명,홍길동,김민수,,,
고소작업대작업계획서,,,,,,,
고소작업대작업계획서,✅ 체크리스트,해당 항목 누락 시 제출 불가,,,,,
, ,작업내용 구체적 작성,,,,,
고소작업대작업계획서, ,감전 예방 장비 사용 여부 확인,,,,,
고소작업대작업계획서, ,담당자 서명 필수,,,,,
고소작업대작업계획서,💡 실무 가이드,작성 전 유의사항,,,,,
고소작업대작업계획서, ,고전압 작업 시 보호구 착용 철저,,,,,
고소작업대작업계획서, ,전원 차단 후 잔류전압 확인 필수,,,,,
고소작업대작업계획서, ,2인 1조 원칙 및 감시자 지정,,,,,
고소작업대작업계획서,📎 출처,산업안전보건규칙 §24 고소작업대 안전기준,,,,,
전기작업계획서,작업명,예: 분전반 교체작업,기숙사 분전반 교체,생산동 배전함 점검,,,
전기작업계획서,작업일시,YYYY-MM-DD HH:MM~HH:MM,2025-05-02 09:00~12:00,2025-05-03 13:00~15:00,,,
전기작업계획서,작업장소,설비 위치 기재,기숙사 1층 전기실,생산동 지하 1층,,,
전기작업계획서,작업자,성명 기재,홍길동,김민수,,,
전기작업계획서,작업내용,"교체, 점검, 배선 등",노후 분전반 교체,배전함 누전 점검,,,
전기작업계획서,사용 장비,"테스터기, 절연장갑 등","전기테스터기, 절연장갑","절연방화복, 절연공구",,,
전기작업계획서,위험요인,"감전, 화재, 누전 등",전선 피복 손상으로 인한 감전,과부하로 인한 누전,,,
전기작업계획서,안전조치사항,"차단기 차단, 절연구 사용 등","작업 전 전원 차단, 절연매트 사용","2인1조 작업, 감시자 배치",,,
전기작업계획서,담당자 서명,직접 서명,홍길동,김민수,,,
전기작업계획서,,,,,,,
전기작업계획서,✅ 체크리스트,해당 항목 누락 시 제출 불가,,,,,
, ,작업내용 구체적 작성,,,,,
전기작업계획서, ,감전 예방 장비 사용 여부 확인,,,,,
전기작업계획서, ,담당자 서명 필수,,,,,
전기작업계획서,💡 실무 가이드,작성 전 유의사항,,,,,
전기작업계획서, ,고전압 작업 시 보호구 착용 철저,,,,,
전기작업계획서, ,전원 차단 후 잔류전압 확인 필수,,,,,
전기작업계획서, ,2인 1조 원칙 및 감시자 지정,,,,,
전기작업계획서,📎 출처,전기사업법 시행규칙 §53 접지저항·누전경보기 시험,,,,,
용접작업계획서,작업명,예: 분전반 교체작업,기숙사 분전반 교체,생산동 배전함 점검,,,
용접작업계획서,작업일시,YYYY-MM-DD HH:MM~HH:MM,2025-05-02 09:00~12:00,2025-05-03 13:00~15:00,,,
용접작업계획서,작업장소,설비 위치 기재,기숙사 1층 전기실,생산동 지하 1층,,,
용접작업계획서,작업자,성명 기재,홍길동,김민수,,,
용접작업계획서,작업내용,"교체, 점검, 배선 등",노후 분전반 교체,배전함 누전 점검,,,
용접작업계획서,사용 장비,"테스터기, 절연장갑 등","전기테스터기, 절연장갑","절연방화복, 절연공구",,,
용접작업계획서,위험요인,"감전, 화재, 누전 등",전선 피복 손상으로 인한 감전,과부하로 인한 누전,,,
용접작업계획서,안전조치사항,"차단기 차단, 절연구 사용 등","작업 전 전원 차단, 절연매트 사용","2인1조 작업, 감시자 배치",,,
용접작업계획서,담당자 서명,직접 서명,홍길동,김민수,,,
용접작업계획서,,,,,,,
용접작업계획서,✅ 체크리스트,해당 항목 누락 시 제출 불가,,,,,
, ,작업내용 구체적 작성,,,,,
용접작업계획서, ,감전 예방 장비 사용 여부 확인,,,,,
용접작업계획서, ,담당자 서명 필수,,,,,
용접작업계획서,💡 실무 가이드,작성 전 유의사항,,,,,
용접작업계획서, ,고전압 작업 시 보호구 착용 철저,,,,,
용접작업계획서, ,전원 차단 후 잔류전압 확인 필수,,,,,
용접작업계획서, ,2인 1조 원칙 및 감시자 지정,,,,,
용접작업계획서,📎 출처,화재예방법 §28 용접·절단 화기 예방조치,,,,,
굴착작업계획서,작업명,예: 분전반 교체작업,기숙사 분전반 교체,생산동 배전함 점검,,,
굴착작업계획서,작업일시,YYYY-MM-DD HH:MM~HH:MM,2025-05-02 09:00~12:00,2025-05-03 13:00~15:00,,,
굴착작업계획서,작업장소,설비 위치 기재,기숙사 1층 전기실,생산동 지하 1층,,,
굴착작업계획서,작업자,성명 기재,홍길동,김민수,,,
굴착작업계획서,작업내용,"교체, 점검, 배선 등",노후 분전반 교체,배전함 누전 점검,,,
굴착작업계획서,사용 장비,"테스터기, 절연장갑 등","전기테스터기, 절연장갑","절연방화복, 절연공구",,,
굴착작업계획서,위험요인,"감전, 화재, 누전 등",전선 피복 손상으로 인한 감전,과부하로 인한 누전,,,
